Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,Alphaville_5642,Tick,0,0,0,0,,,0,0,0,OK
3e-06,MAPL_577215,Tick,0,0,0,0,,,0,0,0,OK
3e-06,GoldenTicket_9999,Tick,0,0,0,0,,,0,0,0,OK
3e-06,TwinkleTwinkle_484218,Tick,0,0,0,0,,,0,0,0,OK
3e-06,UniTrader77_7788,Tick,0,0,0,0,,,0,0,0,OK
3e-06,HappyGuo_100,Tick,0,0,0,0,,,0,0,0,OK
3e-06,AntoniosTeam_114167,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
0.236064,Alphaville_5642,Tick,0,0,0,0,,,0,0,0,OK
0.236064,MAPL_577215,Tick,0,0,0,0,,,0,0,0,OK
0.236064,GoldenTicket_9999,Tick,0,0,0,0,,,0,0,0,OK
0.236064,TwinkleTwinkle_484218,Tick,0,0,0,0,,,0,0,0,OK
0.236064,UniTrader77_7788,Tick,0,0,0,0,,,0,0,0,OK
0.236064,HappyGuo_100,Tick,0,0,0,0,,,0,0,0,OK
0.236064,AntoniosTeam_114167,Tick,0,0,0,0,,,0,0,0,OK
0.236064,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
0.531139,Alphaville_5642,Tick,0,0,0,0,,,0,0,0,OK
0.531139,MAPL_577215,Tick,0,0,0,0,,,0,0,0,OK
0.531139,GoldenTicket_9999,Tick,0,0,0,0,,,0,0,0,OK
0.531139,TwinkleTwinkle_484218,Tick,0,0,0,0,,,0,0,0,OK
0.531139,UniTrader77_7788,Tick,0,0,0,0,,,0,0,0,OK
0.531139,HappyGuo_100,Tick,0,0,0,0,,,0,0,0,OK
0.531139,AntoniosTeam_114167,Tick,0,0,0,0,,,0,0,0,OK
0.531139,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
0.761401,Alphaville_5642,Tick,0,0,0,0,,,0,0,0,OK
0.761401,MAPL_577215,Tick,0,0,0,0,,,0,0,0,OK
0.761401,GoldenTicket_9999,Tick,0,0,0,0,,,0,0,0,OK
0.761401,TwinkleTwinkle_484218,Tick,0,0,0,0,,,0,0,0,OK
0.761401,UniTrader77_7788,Tick,0,0,0,0,,,0,0,0,OK
0.761401,HappyGuo_100,Tick,0,0,0,0,,,0,0,0,OK
0.761401,AntoniosTeam_114167,Tick,0,0,0,0,,,0,0,0,OK
0.761401,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
1.001554,Alphaville_5642,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,MAPL_577215,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,GoldenTicket_9999,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,TwinkleTwinkle_484218,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,UniTrader77_7788,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,HappyGuo_100,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,AntoniosTeam_114167,Tick,0,0,0,0,,140400,0,0,0,OK
1.001554,Cocrew_801,Tick,0,0,0,0,,140400,0,0,0,OK
1.236505,Alphaville_5642,Tick,0,0,0,0,,140400,0,0,0,OK
1.236505,MAPL_577215,Tick,0,0,0,0,,140400,0,0,0,OK
