Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,trAIders_1,Tick,0,0,0,0,,,0,0,0,OK
4e-06,HappyLife_99999,Tick,0,0,0,0,,,0,0,0,OK
4e-06,IdentityExchangers_4761,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Algorizzms_1224,Tick,0,0,0,0,,,0,0,0,OK
4e-06,YipYangYo_314159,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Eternite_1023,Tick,0,0,0,0,,,0,0,0,OK
4e-06,AlgoPro_115,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
0.259452,trAIders_1,Tick,5,0,5,-5,126400,,-63,1063,1063,OK
0.259452,HappyLife_99999,Tick,0,15,-15,15,126400,,378,-4378,-4378,OK
0.259452,IdentityExchangers_4761,Tick,0,0,0,0,126400,,0,0,0,OK
0.259452,Algorizzms_1224,Tick,0,0,0,0,126400,,0,0,0,OK
0.259452,YipYangYo_314159,Tick,0,0,0,0,126400,,0,0,0,OK
0.259452,Eternite_1023,Tick,0,0,0,0,126400,,0,0,0,OK
0.259452,AlgoPro_115,Tick,10,1,9,-9,126400,,-139,39,39,OK
0.259452,Cocrew_801,Tick,0,0,0,0,126400,,0,0,0,OK
0.475979,trAIders_1,Tick,5,50,-45,45,126600,,-696,6696,6696,OK
0.475979,HappyLife_99999,Tick,0,15,-15,15,126600,,378,-4378,-4378,OK
0.475979,IdentityExchangers_4761,Tick,0,0,0,0,126600,,0,0,0,OK
0.475979,Algorizzms_1224,Tick,0,0,0,0,126600,,0,0,0,OK
0.475979,YipYangYo_314159,Tick,0,0,0,0,126600,,0,0,0,OK
0.475979,Eternite_1023,Tick,0,0,0,0,126600,,0,0,0,OK
0.475979,AlgoPro_115,Tick,10,11,-1,1,126600,,-265,165,165,OK
0.475979,Cocrew_801,Tick,0,0,0,0,126600,,0,0,0,OK
0.729875,trAIders_1,Tick,5,89,-84,84,126600,,291,9609,9609,OK
0.729875,HappyLife_99999,Tick,0,15,-15,15,126600,,378,-4378,-4378,OK
0.729875,IdentityExchangers_4761,Tick,0,0,0,0,126600,,0,0,0,OK
0.729875,Algorizzms_1224,Tick,0,0,0,0,126600,,0,0,0,OK
0.729875,YipYangYo_314159,Tick,0,0,0,0,126600,,0,0,0,OK
0.729875,Eternite_1023,Tick,0,0,0,0,126600,,0,0,0,OK
0.729875,AlgoPro_115,Tick,10,21,-11,11,126600,,-12,912,912,OK
0.729875,Cocrew_801,Tick,0,0,0,0,126600,,0,0,0,OK
1.039995,trAIders_1,Tick,5,99,-94,94,126600,,164,9736,9736,OK
1.039995,HappyLife_99999,Tick,0,15,-15,15,126600,,378,-4378,-4378,OK
1.039995,IdentityExchangers_4761,Tick,0,0,0,0,126600,,0,0,0,OK
1.039995,Algorizzms_1224,Tick,0,0,0,0,126600,,0,0,0,OK
1.039995,YipYangYo_314159,Tick,0,0,0,0,126600,,0,0,0,OK
1.039995,Eternite_1023,Tick,0,0,0,0,126600,,0,0,0,OK
1.039995,AlgoPro_115,Tick,20,21,-1,1,126600,,241,-341,-341,OK
1.039995,Cocrew_801,Tick,0,0,0,0,126600,,0,0,0,OK
1.289646,trAIders_1,Tick,5,99,-94,94,126600,126700,164,9736,19136,OK
1.289646,HappyLife_99999,Tick,0,15,-15,15,126600,126700,378,-4378,-2878,OK
1.289646,IdentityExchangers_4761,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.289646,Algorizzms_1224,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.289646,YipYangYo_314159,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.289646,Eternite_1023,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.289646,AlgoPro_115,Tick,20,21,-1,1,126600,126700,241,-341,-241,OK
1.289646,Cocrew_801,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.525111,trAIders_1,Tick,5,99,-94,94,126600,126800,164,9736,28536,OK
1.525111,HappyLife_99999,Tick,0,15,-15,15,126600,126800,378,-4378,-1378,OK
1.525111,IdentityExchangers_4761,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.525111,Algorizzms_1224,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.525111,YipYangYo_314159,Tick,0,0,0,0,126600,126800,0,0,0,OK
