Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
5e-06,test2,Tick,0,0,0,0,,,0,0,0,OK
0.219221,test2,Tick,0,0,0,0,127700,,0,0,0,OK
0.49759,test2,Tick,0,0,0,0,126600,,0,0,0,OK
0.742064,test2,Tick,0,0,0,0,126600,,0,0,0,OK
0.971895,test2,Tick,0,0,0,0,126600,,0,0,0,OK
1.209808,test2,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.521301,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.74532,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.977345,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.270174,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.544089,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.773552,test2,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.969951,test2,Tick,0,0,0,0,126600,127300,0,0,0,OK
3.223797,test2,Tick,0,0,0,0,126600,127200,0,0,0,OK
3.519639,test2,Tick,0,0,0,0,128000,127200,0,0,0,OK
3.793806,test2,Tick,0,0,0,0,128000,127400,0,0,0,OK
4.040746,test2,Tick,0,0,0,0,128000,127400,0,0,0,OK
4.20058,test2,Tick,0,0,0,0,128000,127600,0,0,0,OK
4.49832,test2,Tick,0,0,0,0,128000,127600,0,0,0,OK
4.737892,test2,Tick,0,0,0,0,128000,127700,0,0,0,OK
5.032201,test2,Tick,0,0,0,0,128000,127700,0,0,0,OK
5.27638,test2,Tick,0,0,0,0,128000,128000,0,0,0,OK
5.474831,test2,Tick,0,0,0,0,128000,128000,0,0,0,OK
5.747993,test2,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.006385,test2,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.21523,test2,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.504094,test2,Tick,0,0,0,0,127200,128000,0,0,0,OK
6.77611,test2,Tick,0,0,0,0,127200,127700,0,0,0,OK
6.95044,test2,Tick,0,0,0,0,128200,127700,0,0,0,OK
7.277602,test2,Tick,0,0,0,0,128200,127600,0,0,0,OK
7.473029,test2,Tick,0,0,0,0,128200,127600,0,0,0,OK
7.737138,test2,Tick,0,0,0,0,128200,127600,0,0,0,OK
8.05118,test2,Tick,20,0,20,-20,127200,127600,509,7491,3491,OK
8.288314,test2,Tick,20,0,20,-20,127200,127600,509,7491,3491,OK
8.476316,test2,Tick,20,0,20,-20,127200,127400,509,7491,3491,OK
8.706554,test2,Tick,20,0,20,-20,127200,127400,509,7491,3491,OK
8.968828,test2,Tick,40,0,40,-40,127200,127400,1018,14982,6982,OK
9.213561,test2,Tick,43,0,43,-43,127200,127800,1094,16106,7506,OK
9.51852,test2,Tick,63,0,63,-63,127300,127800,1603,23597,10997,OK
9.737787,test2,Tick,63,0,63,-63,127000,127800,1603,23597,10997,OK
9.961342,test2,Tick,63,0,63,-63,127000,127500,1603,23597,10997,OK
